user,mon,tue,wed,thu,fri,sat,sun,total
4rch,0,0,0,9.0,0,0,0,9.0
AE35,11.0,4.0,1.0,3.0,1.0,1.0,1.0,22.0
Adrian Frith,0,0,1.0,0,0,1.0,0,2.0
Alecs01,0,0,0,0,0,1.0,0,1.0
Alex24223,0,1.0,0,0,0,0,0,1.0
AnyFile,1.0,0,0,0,0,0,1.0,2.0
AtomLaw,6.0,9.0,7.0,0,0,0,1.0,23.0
Aurimas Fišeras,0,2.0,1.0,0,0,1.0,0,4.0
Bacash,0,0,1.0,0,0,0,0,1.0
BeowulfIRL,0,0,0,0,0,1.0,0,1.0
Boggedy,2.0,0,2.0,2.0,0,0,0,6.0
Bonix-Mapper,1.0,0,0,0,0,0,0,1.0
Bopane,3.0,0,0,0,10.0,0,0,13.0
Bryce C Nesbitt,1.0,0,0,0,0,0,0,1.0
Callum_Robinson,0,4.0,0,0,0,0,0,4.0
Chabior,1.0,1.0,0,0,0,2.0,0,4.0
Chris Viljoen (EWCop),0,1.0,5.0,0,0,0,0,6.0
ChristineFriel,3.0,0,0,0,0,0,0,3.0
Cian Gargan,2.0,2.0,0,0,1.0,0,0,5.0
CiaranPalmer,0,0,1.0,0,0,0,0,1.0
Cliff Jones zs6bju,0,0,0,0,1.0,1.0,0,2.0
Courtney6,1.0,0,0,0,0,0,0,1.0
Cranners111,0,13.0,0,0,1.0,0,0,14.0
Creando,1.0,0,0,0,0,0,0,1.0
DAHNiall,0,0,1.0,0,0,0,4.0,5.0
DaCor,0,11.0,8.0,6.0,0,1.0,4.0,30.0
David_Ward,2.0,4.0,0,0,0,0,0,6.0
DeBigC,110.0,176.0,68.0,16.0,39.0,231.0,205.0,845.0
Diarmuid Gallagher,6.0,2.0,0,0,0,0,0,8.0
Dymryk,0,0,0,0,0,1.0,0,1.0
EO'Driscoll,2.0,0,0,0,0,0,0,2.0
Edgar zola,1.0,0,10.0,18.0,2.0,0,0,31.0
Enock4seth,1.0,0,0,0,0,0,0,1.0
EoinOrr,15.0,4.0,0,0,0,0,0,19.0
Ernst Poulsen,0,0,0,0,0,1.0,0,1.0
Eóin Holton,4.0,0,0,0,0,0,0,4.0
FVerjans,1.0,0,0,2.0,0,0,0,3.0
Firefishy,2.0,2.0,2.0,1.0,0,2.0,3.0,12.0
FvGordon,2.0,3.0,0,1.0,2.0,6.0,0,14.0
HarryMcLauchlan,0,0,1.0,0,0,0,0,1.0
Hazy1983,6.0,0,0,0,0,1.0,0,7.0
Ithatz,0,15.0,0,1.0,0,0,1.0,17.0
JFK73,1.0,0,0,0,0,0,0,1.0
JMK247W,0,0,0,0,0,1.0,0,1.0
Janie Smith,0,3.0,0,0,0,0,0,3.0
Joe Resort,9.0,1.0,0,0,0,4.0,5.0,19.0
JoeCorr,0,0,0,0,0,1.0,0,1.0
JordanKepler,1.0,8.0,24.0,13.0,3.0,1.0,1.0,51.0
KDDA,0,2.0,0,0,0,2.0,0,4.0
KZawadzki,4.0,2.0,0,0,0,0,0,6.0
Katiso Rachabane,0,4.0,0,0,0,0,0,4.0
Kheekhe,0,0,0,0,3.0,0,0,3.0
Kieran Connor1,0,1.0,0,0,0,0,0,1.0
Lara (EWC),1.0,2.0,1.0,0,0,0,0,4.0
LarsBG,0,0,0,1.0,0,1.0,1.0,3.0
Latze,2.0,1.0,0,0,0,1.0,0,4.0
Leah,1.0,0,0,0,0,0,0,1.0
LeboM,1.0,0,0,2.0,6.0,0,2.0,11.0
Lehlohonolo,0,0,3.0,1.0,0,0,0,4.0
Lekoro,8.0,8.0,7.0,1.0,0,0,0,24.0
Lineo,12.0,41.0,33.0,1.0,4.0,0,6.0,97.0
Liraneko,0,0,0,0,4.0,0,0,4.0
Little Brother,0,0,0,0,0,0,1.0,1.0
LollyMay,1.0,0,0,0,0,0,1.0,2.0
Luke Purtell,1.0,1.0,0,0,0,0,0,2.0
Léo_M,2.0,0,0,0,0,0,0,2.0
Mabatho,0,0,0,0,14.0,0,0,14.0
Majakathata,7.0,0,0,1.0,0,0,0,8.0
Mampho Shale,3.0,0,0,0,0,0,0,3.0
Manfredolbrich,0,1.0,0,0,0,0,0,1.0
MannyChoudhry,0,0,0,1.0,0,0,0,1.0
MapMakinMeyers,1.0,0,0,0,0,0,0,1.0
MartinaTY,7.0,10.0,0,0,0,1.0,1.0,19.0
Math1985,0,0,0,0,0,1.0,0,1.0
MattOD11,0,0,0,0,0,0,1.0,1.0
Miguel Carrilho,2.0,0,0,0,0,0,0,2.0
Moseme,0,0,3.0,0,0,1.0,0,4.0
Mpai,0,0,0,0,2.0,0,0,2.0
Mpaleng Oliphant,0,0,1.0,0,3.0,0,0,4.0
Murph_Mon,2.0,0,0,0,0,2.0,0,4.0
Nicole Curran,3.0,7.0,0,0,0,0,0,10.0
NoelB,0,0,0,0,0,4.0,4.0,8.0
Nomnomnom,1.0,0,0,0,0,0,0,1.0
Ntate MOKOENA,0,0,0,0,2.0,0,0,2.0
OisinD,0,3.0,0,0,0,0,0,3.0
Papali Leboela,2.0,0,0,0,0,0,0,2.0
Patrick Ferry,2.0,2.0,0,0,0,0,1.0,5.0
Patricka,1.0,0,2.0,0,0,1.0,1.0,5.0
Paul Mallet,0,0,0,0,0,0,1.0,1.0
Qoqolosi,0,1.0,0,0,0,0,0,1.0
R0bst3r,0,1.0,0,0,0,0,0,1.0
RAytoun,8.0,0,1.0,0,5.0,1.0,1.0,16.0
Ralph Brennan,1.0,7.0,0,0,0,0,0,8.0
Rbanick,0,1.0,2.0,0,0,0,0,3.0
Rdowd,0,1.0,0,0,0,0,0,1.0
ReinisLo,1.0,2.0,0,0,0,0,8.0,11.0
Rezane van Vuuren (EWCop),0,1.0,0,0,0,0,0,1.0
